CD61-1,HIK 4Ch Mini NVR 25Mbps 1 SATA H,,3732.00,0,4291.8,DS-7104NI-Q1/4P,
CD62-1,HIK 8Ch Mini NVR 50Mbps 1 SATA 1,,4934.00,0,5674.1,DS-7108NI-Q1/8P,
CD64-1,HIK 4Ch Mini NVR 1SATA 1HDMI No PoE 1TBH,,2792.00,0,3210.8,DS-7104NI-Q1,
CD65-1,HIK 8Ch Mini NVR 1SATA 1HDMI No PoE 2TBH,,3332.00,0,3831.8,DS-7108NI-Q1,
NVR's - Embedded HIKVISION,,,,0,0,,
CD70-4,HIK 8 Ch NVR 80Mbps 8 PoE - 2 SATA Bay,,5485.00,0,6307.75,DS-7608NI-K2/8P,
CD70-5,HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 2TB HD,,7278.00,0,8369.7,DS-7608NI-K2/8P,
CD70-6,HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 4TBHDD,,8306.00,0,9551.9,DS-7608NI-K2/8P,
CD71-4,HIK 8 Ch NVR 80Mbps,Alarm IO 2SATA NoPo,3316.00,#VALUE!,3813.4,DS-7608NI-K2,
CD71-5,HIK 8 Ch NVR 80Mbps IO 2 SATA No PoE 3T,,5758.00,0,6621.7,DS-7608NI-K2,
CD72-4,HIK 16 Ch NVR 160Mbps Alarm IO - No PoE,,3779.00,0,4345.85,DS-7616NI-K2,
CD72-5,HIK 16 Ch NVR 160Mbps IO - No PoE  3TB,,6235.00,0,7170.25,DS-7616NI-K2,
CD75,NVR HIKVISION 16 Channel Embedded no PoE,,7926.00,0,9114.9,DS-7616NXI-I2/S,
CD75-1,HIK 16Ch NVR 160Mbps No PoE 2SATA 3TBHDD,,9197.00,0,10576.55,DS-7616NXI-I2/S,
CD76-9,HIK 16Ch NVR 160Mbps 16PoE 2SATA AlarmIO,,7842.00,0,9018.3,DS-7616NI-K2/16P,
CD76-3,HIK 16 Ch NVR 160Mbps 16PoE Alarm IO 3TB,,10047.00,0,11554.05,DS-7616NI-K2/16P,
CD90,HIK 16ch AcuSense NVR with 4ch False Ala,,12221.00,0,14054.15,DS-7716NXI-I4/S,
CD92,16 Channel AcuSense NVR 256Mbps with 16,,13463.00,0,15482.45,DS-7716NXI-I4/16P/S,
CD94,HIK 16 Ch DeepInMind NVR with No PoE,,51190.00,0,58868.5,iDS-9616NXI-I8/X,
CD74,HIK 32 Channel Embedded NVR 9632,,28516.00,0,32793.4,DS-9632NXI-I8/S,
CD74-1,HIK 32 Channel Embedded NVR 9632 3TB HDD,,28964.30,0,33308.945,DS-9632NXI-I8/S,
CD91,HIK 32ch AcuSense NVR with 4ch False Ala,,13582.00,0,15619.3,DS-7732NXI-I4/S,
CD93,32 Channel AcuSense NVR 256Mbps with 16,,17871.00,0,20551.65,DS-7732NXI-I4/16P/S,
CD95,HIK 32 Ch DeepInMind NVR with No PoE,,54394.00,0,62553.1,iDS-9632NXI-I8/X,
CD77,HIKVISION Embedded NVR 64 Channel 160Mbp,,43691.00,0,50244.65,DS-9664NXI-I8/S,
CD77-1,HIKVISION NVR 64 Channel 160Mbp 4TBHDD,,45421.00,0,52234.15,DS-9664NXI-I8/S,
CDC999-HC,CCTV R250 Dell Video Management Server,,82668.00,0,95068.2,DELLR250-REG,
CDC999-VSS,CCTV R250 VSS Video Management Server,,79469.00,0,91389.35,VSS-14SD-2124-5YR,
