regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
CA18;Conduit Strap Saddle 20mm - 100;88;61.6;101.2;70.84;pvc;cab
CA18-1;Conduit Strap Saddle 25mm - 25;42.9;30;49.335;34.5;pvc;cab
CA27;PVC Gland - '0' White;2.9;2;3.335;2.3;pvc;cab
CA32;PVC Saddle Round with Nail - 20mm - 25;31.5;22;36.225;25.3;pvc;cab
CA33;PVC Saddle Round - 3mm - 100;14.2;9.9;16.33;11.385;pvc;cab
CA34;PVC Saddle Round - 4mm - 100;12.5;8.7;14.375;10.005;pvc;cab
CA35;PVC Saddle Round - 5mm - 100;15.3;10.7;17.595;12.305;pvc;cab
CA36;PVC Saddle Round - 6mm - 100;18.3;12.8;21.045;14.72;pvc;cab
CA37;PVC Saddle Round - 7mm - 100;21;13.6;24.15;15.64;pvc;cab
CA38;PVC Saddle Round - 8mm - 100;21.5;15;24.725;17.25;pvc;cab
CA30;PVC Saddle Round - 10mm - 100;29.9;20.9;34.385;24.035;pvc;cab
CA31;PVC Saddle Round - 12mm - 100;42.9;30;49.335;34.5;pvc;cab
CA47;PVC Bonding Fluid - 200ml;33;23.1;37.95;26.565;pvc;cab
CA54;SPIRAL BIND - 12 x 30m - m;15.3;10.7;17.595;12.305;pvc;cab
;"We also stock trunking end caps; corner pieces; terminal ends and 25mm conduit and accessories";;;0;0;;cab
PVC - ABS ENCLOSURES;;;;0;0;;cab
CA21;SP Uni Cam Mnt Enclose 115x115x48mm;58;39;66.7;44.85;cab_enc;cab
CA21-1;SP L Uni Cam Mnt Enclose 161x161x48mm Wh;88;59;101.2;67.85;cab_enc;cab
CA21-5;SP Enclose Blk Uni Cam Mnt 115x115x48mm;58;39;66.7;44.85;cab_enc;cab
CA12-5;ENCLOSURE PVC - 4 x 2 inch Surface Mount;23.2;16.2;26.68;18.63;cab_enc;cab
CA12-10;ENCLOSURE PVC - 4 x 4 inch Surface Mount;28.6;20;32.89;23;cab_enc;cab
CA19-1;Enclose for 36AH Batt RL-3P H260xW220xD2;980;676;1127;777.4;cab_enc;cab
CA19-3;SP Plastic Enclose 240x190x90mm;401.5;281;461.725;323.15;cab_enc;cab
CA20-1;SP Plastic Enclose 190x140x70mm;199;149;228.85;171.35;cab_enc;cab
CA21-2;SP Plastic Enclose 100x100x50mm;76.3;53.4;87.745;61.41;cab_enc;cab
CA22-1;SP Plastic Enclose 150x110x70mm;119;81;136.85;93.15;cab_enc;cab
CA59;SP Plastic Enclose 150x150x70mm;184.3;129;211.945;148.35;cab_enc;cab
CA60;SP Plastic Enclose 300x220x120mm;788;569;906.2;654.35;cab_enc;cab
CN17;Encolsure - Utility Box White;29.2;20.4;33.58;23.46;cab_enc;cab
