description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
EF128;Square Tube Jurassic 8 Wire Galv A BB;107.82;72.9;123.993;83.835;POLE;efe
EF129;Square Tube Jurassic 8 Wire Galv S BB;107.82;72.9;123.993;83.835;POLE;efe
EF130;Square Tube Jurassic 10 Wire Galv A BB;127.05;85.9;146.1075;98.785;POLE;efe
EF131;Square Tube Jurassic 10 Wire Galv S BB;123;85.9;141.45;98.785;POLE;efe
EF132;Square Tube Jurassic 10 Wire Galv A WB;127.05;85.9;146.1075;98.785;POLE;efe
;Galvanised & powder coated JURASSIC poles are also available;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Prices are subject to change without prior notice.;;;;0;0;POLE;efe
E&OE. Valid until 31st March 2023.;Page: 42;;;0;0;POLE;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Trade Price List;;;;0;0;POLE;efe
ELECTRIC FENCING;;;;0;0;POLE;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;POLE;efe
;WALLTOP FENCE POLES & STAYS - GALVANIZED;;;0;0;POLE;efe
EF09-6;F-Pole - 5Line Flat Bar Galv BB;68.64;46.4;78.936;53.36;POLE;efe
EF09-8;F-Pole - 5Line Flat Bar Galv WB;63.22;42.74;72.703;49.151;POLE;efe
EF09-2;F-Pole - 5Line Flat Bar Angle Galv BB;68.64;46.4;78.936;53.36;POLE;efe
EF09-4;F-Pole - 5Line Flat Bar Angle Galv WB;63.22;42.74;72.703;49.151;POLE;efe
EF13-5;F-Pole - 6Line Flat Bar Galv BB;76.19;51.5;87.6185;59.225;POLE;efe
EF13-9;F-Pole - 6Line Flat Bar Galv WB;76.17;51.5;87.5955;59.225;POLE;efe
EF13-3;F-Pole - 6Line Flat Bar Angle Galv BB;76.19;51.5;87.6185;59.225;POLE;efe
EF13-10;F-Pole - 6Line Flat Bar Angle Galv WB;76.17;51.5;87.5955;59.225;POLE;efe
EF15-2;F-Pole - 6Line Round Galv BB;55.34;37.4;63.641;43.01;POLE;efe
EF15-3;F-Pole - 6Line Round Galv WB;55.34;37.4;63.641;43.01;POLE;efe
EF46-6;Fence Pole - 6Line Low Profile Galv;112.75;81;129.6625;93.15;POLE;efe
EF46-7;Fence Pole - 6Line TPole Galv Black Bob;110.66;79.5;127.259;91.425;POLE;efe
EF46-9;Fence Pole - 6Line TPole Galv PC BB;122.06;82.5;140.369;94.875;POLE;efe
EF37-3;Stay - 600mm Galvanised;34.45;24.75;39.6175;28.4625;POLE;efe
EF36-5;Stay - 750mm Hot Dip Galvanized PC Black;43.71;31.4;50.2665;36.11;POLE;efe
EF37-8;Stay - 750mm Galvanised;36.05;25.9;41.4575;29.785;POLE;efe
EF37-6;Stay - 750mm with Lug Galvanised;35.4;23.9;40.71;27.485;POLE;efe
;Powdered coated galv and PVC type also available;;;0;0;POLE;efe
;MODULAS FENCE POLES & ACCESSORIES;;;0;0;POLE;efe
EF150;Modulas Bracket 460mm 5 Line incl Caps;48.93;33.08;56.2695;38.042;POLE;efe
EF151;Modulas Bracket 960mm 10 Line incl Caps;79.99;54.08;91.9885;62.192;POLE;efe
EF152;Modulas Bracket 1160mm 12 Line incl Caps;99.39;67.2;114.2985;77.28;POLE;efe
EF153;Modulas Bracket 1960mm 20 Line incl Caps;163.06;110.25;187.519;126.7875;POLE;efe
EF154;Modulas Bracket 2360mm 24 Line incl Caps;194.12;131.25;223.238;150.9375;POLE;efe
EF160;Modulas Corner Bracket 460mm 5 Line;72.24;48.83;83.076;56.1545;POLE;efe
EF161;Modulas Corner Bracket 960mm 10 Line;121.15;81.9;139.3225;94.185;POLE;efe
EF162;Modulas Corner Bracket 1160mm 12 Line;144.44;97.65;166.106;112.2975;POLE;efe
EF163;Modulas Corner Bracket 1960mm 20 Line;232.96;157.5;267.904;181.125;POLE;efe
EF164;Modulas Corner Bracket 2360mm 24 Line;271.78;183.75;312.547;211.3125;POLE;efe
EF175;Modulas Slide Insulator Black;1.86;1.26;2.139;1.449;POLE;efe
EF176;Modulas Spacer Black;1.84;1.24;2.116;1.426;POLE;efe
EF177;Modulas and Jurassic Spring Hook S-S;1.39;1;1.5985;1.15;POLE;efe
EF180;Modulas Mounting Bracket Black - 20;136.44;98.7;156.906;113.505;POLE;efe
EF180-1;Modulas T Base Bracket Black;17;11;19.55;12.65;POLE;efe
EF181;Modulas End Cap 19x19mm Black - 20;102.31;73.5;117.6565;84.525;POLE;efe
EF182;Modulas End Cap 26x19mm Black - 20;111.96;80.8;128.754;92.92;POLE;efe
;All Poles are supplied unassembled;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Prices are subject to change without prior notice.;;;;0;0;POLE;efe
E&OE. Valid until 31st March 2023.;Page: 43;;;0;0;POLE;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Trade Price List;;;;0;0;POLE;efe
ELECTRIC FENCING;;;;0;0;POLE;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;POLE;efe
;ELECTRIC FENCE STAYS & ACCESSORIES;;;0;0;POLE;efe
EF36;Stay - 600mm Black;27.42;19.7;31.533;22.655;POLE;efe
EF37;Stay - 600mm White;27.42;19.7;31.533;22.655;POLE;efe
EF37-3;Stay - 600mm Galvanised;34.45;24.75;39.6175;28.4625;POLE;efe
EF37-11;Stay - 600mm Galv Powder Coated White;43.71;31.4;50.2665;36.11;POLE;efe
EF37-12;Stay - 600mm Galvanised PC Black;40.65;29.2;46.7475;33.58;POLE;efe
EF36-4;Stay - 600mm with Lug Black;25.75;18.5;29.6125;21.275;POLE;efe
EF37-15;Stay - 600mm with Lug White;25.75;18.5;29.6125;21.275;POLE;efe
EF37-4;Stay - 600mm with Lug Galvanised;29.44;19.9;33.856;22.885;POLE;efe
EF37-7;Stay - 750mm Black;34.45;24.75;39.6175;28.4625;POLE;efe
EF37-2;Stay - 750mm White;34.45;24.75;39.6175;28.4625;POLE;efe
EF37-8;Stay - 750mm Galvanised;36.05;25.9;41.4575;29.785;POLE;efe
EF36-2;Stay - 750mm Galv Powder Coated White;43.71;31.4;50.2665;36.11;POLE;efe
EF36-5;Stay - 750mm Hot Dip Galvanized PC Black;43.71;31.4;50.2665;36.11;POLE;efe
EF37-1;Stay - 750mm with Lug White;32.01;23;36.8115;26.45;POLE;efe
EF37-10;Stay - 750mm with Lug Black;32.01;23;36.8115;26.45;POLE;efe
EF37-6;Stay - 750mm with Lug Galvanised;35.4;23.9;40.71;27.485;POLE;efe
;ELECTRIC FENCE STAYS & ACCESSORIES;;;0;0;POLE;efe
EF37-14;Stay - 1m x 10mm Black;43.85;31.5;50.4275;36.225;POLE;efe
EF37-13;Stay - 1m x 10mm White;43.85;31.5;50.4275;36.225;POLE;efe
EF37-9;Stay - 1m x 10mm Galvanised;52.76;37.9;60.674;43.585;POLE;efe
EF36-6;Stay Sleeve - 600mm Black;8.9;6.2;10.235;7.13;POLE;efe
EF36-7;Stay Sleeve - 600mm White;8.9;6.2;10.235;7.13;POLE;efe
EF36-9;Stay Sleeve - 750mm Black;10;7.2;11.5;8.28;POLE;efe
EF36-8;Stay Sleeve - 750mm White;11;7.2;12.65;8.28;POLE;efe
EF36-10;Stay Sleeve - 1000mm Black;10.58;7.6;12.167;8.74;POLE;efe
EF36-1;Stay Sleeve - 1000mm White;10.58;7.6;12.167;8.74;POLE;efe
