regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
LK189-11;ZK ZKBT-Dev-P5 BioTime 8 Lic 5 Dev;4486.7;3070.3;5159.705;3530.845;zk_soft;acc
LK189-12;ZK ZKBT-Dev-P10 BioTime 8 Lic 10 Dev;8973.3;6140.58;10319.295;7061.667;zk_soft;acc
LK189-13;ZKBT-Dev-P20 BT Licence - 20 Devices;17946.6;12281.16;20638.59;14123.334;zk_soft;acc
LK189-14;ZK ZKTime.Net 3.0 Economic 500 Em & 50 D;3589.3;2456.23;4127.695;2824.6645;zk_soft;acc
LK189-15;HLMS Module 1 Door;312.4;213.77;359.26;245.8355;zk_soft;acc
LK189-16;ZKBS-M5 BS App 5 Users;9309.1;6370.39;10705.465;7325.9485;zk_soft;acc
LK189-17;ZKBS-CP-P1 BS Card Printer 1;12433;8508.1;14297.95;9784.315;zk_soft;acc
LK189-18;ZKTeco BioSecurity 5000 Visitor Module;20446;14312;23512.9;16458.8;zk_soft;acc
LK189-19;ZKBS-TA-P10 BioSecurity T&A Module - 10;18866;12782.25;21695.9;14699.5875;zk_soft;acc
LK197-3;ZK BS-AC-10 BioSecurity Access Mod 10 Do;6185.3;4232.67;7113.095;4867.5705;zk_soft;acc
LK197-4;ZK BS-AC-25 BioSecurity Access Mod 25 Do;15556.8;10645.81;17890.32;12242.6815;zk_soft;acc
LK197-5;ZK BS-AC-50 BioSecurity Access Mod 50 Do;28203;19299.84;32433.45;22194.816;zk_soft;acc
LK197-6;ZK BS-AC-75 BioSecurity Access Mod 75 Do;46795.3;32022.95;53814.595;36826.3925;zk_soft;acc
LK197-7;ZK BS-AC-100 BioSecurity Access Mod 100;62414.6;42711.52;71776.79;49118.248;zk_soft;acc
;;;;0;0;;acc
Prices are subject to change without prior notice.;;;;0;0;;acc
E&OE. Valid until 31st March 2023.;Page: 58;;;0;0;;acc
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;acc
;;;;0;0;;acc
Trade Price List;;;;0;0;;acc
ACCESS CONTROL;;;;0;0;;acc
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;acc
;ZKTeco BIOMETRIC METAL DETECTORS;;;0;0;;acc
BD04-2;D180K Hand Held Metal Detector + BATT;1827.5;1250.56;2101.625;1438.144;zk_detect;acc
BD100;ZK D1065 Walkthrough Metal Detector 6 Zo;18274.6;12505.63;21015.79;14381.4745;zk_detect;acc
BD100-1;D2180 Walkthrough Metal Detector 18Z;27777.3;19008.55;31943.895;21859.8325;zk_detect;acc
BD100-2;ZK D4330 Walkthrough Metal Detector 33 Z;75949;51973.38;87341.35;59769.387;zk_detect;acc
BD100-5;ZK D3180STD Walkthrough Metal Detector T;46051.9;31514.18;52959.685;36241.307;zk_detect;acc
;ZKTeco VEHICLE BOOM BARRIER & RADAR DETECTION;;;0;0;zk_detect;acc
LK196;ZK VR10 Vehicle Detection Radar Sensor;5774.8;3951.78;6641.02;4544.547;zk_detect;acc
LK196-1;ZK VR10 Connector USB RS485;1096.5;750.34;1260.975;862.891;zk_detect;acc
LK487;ZK 6m Boom Barrier;20467.5;14006.3;23537.625;16107.245;zk_boom;acc
